measurement_id,component_id,lot_id,feature_name,nominal_value,upper_tolerance,lower_tolerance,measured_value,measurement_timestamp,cmm_machine_id,inspector_id,result
M0000001,PART-041,LOT-00001,outer_diameter,100,100.5,99.5,100.083,1/7/2024 9:36,CMM2,QC005,pass
M0000002,PART-007,LOT-00002,parallelism,0,0.1,0,-0.005,1/26/2024 13:41,CMM1,QC003,fail
M0000003,PART-014,LOT-00003,thickness,5,5.05,4.95,5.011,1/11/2024 19:07,CMM1,QC008,pass
M0000004,PART-042,LOT-00004,outer_diameter,100,100.5,99.5,100.254,1/27/2024 12:13,CMM2,QC012,pass
M0000005,PART-001,LOT-00005,width,10,10.1,9.9,9.992,1/8/2024 10:23,CMM2,QC008,pass
M0000006,PART-049,LOT-00006,bore_diameter,50,50.4,49.6,49.969,1/17/2024 2:39,CMM2,QC001,pass
M0000007,PART-023,LOT-00007,parallelism,0,0.1,0,0.053,1/28/2024 16:25,CMM3,QC004,pass
M0000008,PART-025,LOT-00008,bore_diameter,50,50.4,49.6,50.102,1/6/2024 13:04,CMM2,QC012,pass
M0000009,PART-024,LOT-00009,thickness,5,5.05,4.95,4.992,1/28/2024 2:37,CMM2,QC015,pass
M0000010,PART-019,LOT-00010,flatness,0,0.1,0,0.018,1/6/2024 12:09,CMM2,QC008,pass
M0000011,PART-041,LOT-00011,thickness,5,5.05,4.95,4.992,1/18/2024 9:29,CMM1,QC018,pass
M0000012,PART-045,LOT-00012,length,20,20.2,19.8,19.969,1/30/2024 17:49,CMM1,QC014,pass
M0000013,PART-016,LOT-00013,thickness,5,5.05,4.95,5.004,1/8/2024 13:28,CMM2,QC010,pass
M0000014,PART-015,LOT-00014,outer_diameter,100,100.5,99.5,99.681,1/17/2024 16:12,CMM1,QC001,pass
M0000015,PART-026,LOT-00015,flatness,0,0.1,0,-0.057,1/15/2024 0:26,CMM3,QC013,fail
M0000016,PART-042,LOT-00016,flatness,0,0.1,0,-0.019,1/23/2024 22:17,CMM1,QC002,fail
M0000017,PART-048,LOT-00017,length,20,20.2,19.8,19.932,1/27/2024 5:09,CMM1,QC004,pass
M0000018,PART-038,LOT-00018,flatness,0,0.1,0,0.01,1/20/2024 6:15,CMM3,QC005,pass
M0000019,PART-049,LOT-00019,length,20,20.2,19.8,19.939,1/4/2024 19:27,CMM2,QC012,pass
M0000020,PART-044,LOT-00020,flatness,0,0.1,0,-0.047,1/21/2024 5:06,CMM3,QC019,fail
M0000021,PART-030,LOT-00021,flatness,0,0.1,0,0.049,1/25/2024 2:56,CMM3,QC007,pass
M0000022,PART-044,LOT-00022,thickness,5,5.05,4.95,4.996,1/27/2024 7:30,CMM1,QC001,pass
M0000023,PART-019,LOT-00023,bore_diameter,50,50.4,49.6,50.009,1/21/2024 8:52,CMM1,QC012,pass
M0000024,PART-017,LOT-00024,parallelism,0,0.1,0,-0.047,1/24/2024 2:46,CMM3,QC015,fail
M0000025,PART-020,LOT-00025,bore_diameter,50,50.4,49.6,49.927,1/30/2024 11:54,CMM1,QC001,pass
M0000026,PART-011,LOT-00026,bore_diameter,50,50.4,49.6,50.015,1/27/2024 7:08,CMM2,QC009,pass
M0000027,PART-002,LOT-00027,angle,45,46,44,44.616,1/8/2024 1:11,CMM1,QC009,pass
M0000028,PART-037,LOT-00028,width,10,10.1,9.9,10.013,1/4/2024 21:01,CMM1,QC020,pass
M0000029,PART-009,LOT-00029,angle,45,46,44,44.8,1/23/2024 12:08,CMM1,QC002,pass
M0000030,PART-028,LOT-00030,angle,45,46,44,44.903,1/11/2024 23:20,CMM3,QC001,pass
M0000031,PART-046,LOT-00031,length,20,20.2,19.8,19.96,1/16/2024 13:28,CMM2,QC001,pass
M0000032,PART-016,LOT-00032,flatness,0,0.1,0,-0.017,1/11/2024 16:25,CMM2,QC001,fail
M0000033,PART-038,LOT-00033,flatness,0,0.1,0,0.062,1/11/2024 19:32,CMM2,QC009,pass
M0000034,PART-005,LOT-00034,parallelism,0,0.1,0,0,1/3/2024 11:18,CMM3,QC020,pass
M0000035,PART-043,LOT-00035,angle,45,46,44,43.864,1/23/2024 7:12,CMM3,QC017,fail
M0000036,PART-037,LOT-00036,angle,45,46,44,44.647,1/29/2024 1:22,CMM2,QC007,pass
M0000037,PART-007,LOT-00037,bore_diameter,50,50.4,49.6,50.11,1/31/2024 23:47,CMM2,QC012,pass
M0000038,PART-047,LOT-00038,flatness,0,0.1,0,-0.041,1/4/2024 1:10,CMM3,QC018,fail
M0000039,PART-007,LOT-00039,parallelism,0,0.1,0,0.007,1/13/2024 15:35,CMM2,QC013,pass
M0000040,PART-012,LOT-00040,angle,45,46,44,44.347,1/15/2024 7:14,CMM3,QC008,pass
M0000041,PART-036,LOT-00041,outer_diameter,100,100.5,99.5,99.779,1/7/2024 4:56,CMM1,QC014,pass
M0000042,PART-016,LOT-00042,length,20,20.2,19.8,20.013,1/8/2024 21:39,CMM3,QC001,pass
M0000043,PART-004,LOT-00043,outer_diameter,100,100.5,99.5,100.123,1/10/2024 9:49,CMM1,QC018,pass
M0000044,PART-030,LOT-00044,flatness,0,0.1,0,0.143,1/14/2024 16:34,CMM3,QC015,fail
M0000045,PART-013,LOT-00045,outer_diameter,100,100.5,99.5,100.029,1/16/2024 3:05,CMM1,QC007,pass
M0000046,PART-048,LOT-00046,bore_diameter,50,50.4,49.6,49.985,1/15/2024 13:32,CMM3,QC009,pass
M0000047,PART-034,LOT-00047,angle,45,46,44,44.9,1/9/2024 14:57,CMM1,QC019,pass
M0000048,PART-005,LOT-00048,thickness,5,5.05,4.95,4.975,1/13/2024 5:54,CMM3,QC004,pass
M0000049,PART-003,LOT-00049,thickness,5,5.05,4.95,4.988,1/30/2024 16:31,CMM3,QC002,pass
M0000050,PART-021,LOT-00050,angle,45,46,44,44.846,1/14/2024 0:49,CMM1,QC018,pass
M0000051,PART-043,LOT-00051,width,10,10.1,9.9,10.035,1/30/2024 14:03,CMM3,QC014,pass
M0000052,PART-040,LOT-00052,parallelism,0,0.1,0,0.011,1/26/2024 17:56,CMM3,QC011,pass
M0000053,PART-009,LOT-00053,width,10,10.1,9.9,9.941,1/18/2024 19:12,CMM2,QC016,pass
M0000054,PART-029,LOT-00054,bore_diameter,50,50.4,49.6,50.043,1/26/2024 9:20,CMM3,QC017,pass
M0000055,PART-043,LOT-00055,flatness,0,0.1,0,-0.013,1/27/2024 14:46,CMM3,QC014,fail
M0000056,PART-007,LOT-00056,angle,45,46,44,44.774,1/27/2024 22:16,CMM1,QC019,pass
M0000057,PART-022,LOT-00057,length,20,20.2,19.8,20.041,1/12/2024 0:22,CMM3,QC018,pass
M0000058,PART-004,LOT-00058,length,20,20.2,19.8,20.069,1/5/2024 14:48,CMM3,QC006,pass
M0000059,PART-050,LOT-00059,bore_diameter,50,50.4,49.6,50.124,1/7/2024 5:53,CMM3,QC007,pass
M0000060,PART-046,LOT-00060,length,20,20.2,19.8,19.944,1/21/2024 0:08,CMM1,QC014,pass
M0000061,PART-045,LOT-00061,angle,45,46,44,44.897,1/9/2024 16:48,CMM2,QC014,pass
M0000062,PART-028,LOT-00062,parallelism,0,0.1,0,0.011,1/8/2024 11:12,CMM2,QC017,pass
M0000063,PART-014,LOT-00063,bore_diameter,50,50.4,49.6,50.13,1/13/2024 9:33,CMM2,QC011,pass
M0000064,PART-027,LOT-00064,width,10,10.1,9.9,9.984,1/29/2024 22:55,CMM3,QC009,pass
M0000065,PART-012,LOT-00065,angle,45,46,44,44.938,1/21/2024 0:20,CMM2,QC005,pass
M0000066,PART-027,LOT-00066,outer_diameter,100,100.5,99.5,99.816,1/13/2024 23:03,CMM1,QC003,pass
M0000067,PART-003,LOT-00067,parallelism,0,0.1,0,-0.04,1/23/2024 8:07,CMM3,QC011,fail
M0000068,PART-015,LOT-00068,length,20,20.2,19.8,20.054,1/12/2024 23:29,CMM3,QC016,pass
M0000069,PART-005,LOT-00069,thickness,5,5.05,4.95,5.023,1/14/2024 21:52,CMM2,QC003,pass
M0000070,PART-035,LOT-00070,outer_diameter,100,100.5,99.5,99.988,1/16/2024 19:42,CMM3,QC013,pass
M0000071,PART-017,LOT-00071,length,20,20.2,19.8,20.067,1/3/2024 13:47,CMM1,QC004,pass
M0000072,PART-021,LOT-00072,parallelism,0,0.1,0,0.012,1/21/2024 17:39,CMM1,QC009,pass
M0000073,PART-013,LOT-00073,flatness,0,0.1,0,-0.022,1/13/2024 10:13,CMM1,QC012,fail
M0000074,PART-035,LOT-00074,flatness,0,0.1,0,0.012,1/10/2024 6:12,CMM3,QC013,pass
M0000075,PART-040,LOT-00075,parallelism,0,0.1,0,0.051,1/16/2024 9:52,CMM1,QC001,pass
M0000076,PART-043,LOT-00076,bore_diameter,50,50.4,49.6,49.995,1/20/2024 3:04,CMM2,QC017,pass
M0000077,PART-013,LOT-00077,length,20,20.2,19.8,20.104,1/20/2024 10:14,CMM2,QC007,pass
M0000078,PART-040,LOT-00078,bore_diameter,50,50.4,49.6,49.651,1/28/2024 20:36,CMM2,QC019,pass
M0000079,PART-014,LOT-00079,parallelism,0,0.1,0,0.027,1/20/2024 22:33,CMM1,QC009,pass
M0000080,PART-029,LOT-00080,length,20,20.2,19.8,20.006,1/21/2024 19:57,CMM3,QC007,pass
M0000081,PART-048,LOT-00081,thickness,5,5.05,4.95,4.995,1/10/2024 7:20,CMM1,QC016,pass
M0000082,PART-040,LOT-00082,flatness,0,0.1,0,0.003,1/16/2024 9:06,CMM3,QC017,pass
M0000083,PART-013,LOT-00083,thickness,5,5.05,4.95,4.967,1/9/2024 12:56,CMM1,QC003,pass
M0000084,PART-050,LOT-00084,bore_diameter,50,50.4,49.6,49.971,1/4/2024 20:32,CMM1,QC010,pass
M0000085,PART-045,LOT-00085,bore_diameter,50,50.4,49.6,50.048,1/19/2024 8:24,CMM1,QC015,pass
M0000086,PART-001,LOT-00086,width,10,10.1,9.9,10.049,1/7/2024 5:25,CMM2,QC013,pass
M0000087,PART-045,LOT-00087,parallelism,0,0.1,0,-0.017,1/25/2024 11:44,CMM2,QC009,fail
M0000088,PART-008,LOT-00088,thickness,5,5.05,4.95,4.987,1/21/2024 19:34,CMM2,QC008,pass
M0000089,PART-039,LOT-00089,length,20,20.2,19.8,19.967,1/15/2024 12:34,CMM3,QC014,pass
M0000090,PART-028,LOT-00090,parallelism,0,0.1,0,0.031,1/27/2024 21:25,CMM2,QC005,pass
M0000091,PART-049,LOT-00091,parallelism,0,0.1,0,0.011,1/13/2024 22:03,CMM2,QC007,pass
M0000092,PART-016,LOT-00092,flatness,0,0.1,0,-0.018,1/14/2024 6:56,CMM3,QC019,fail
M0000093,PART-022,LOT-00093,outer_diameter,100,100.5,99.5,100.086,1/17/2024 9:12,CMM1,QC017,pass
M0000094,PART-025,LOT-00094,angle,45,46,44,45.032,1/9/2024 21:54,CMM3,QC005,pass
M0000095,PART-035,LOT-00095,angle,45,46,44,45.323,1/22/2024 14:54,CMM1,QC012,pass
M0000096,PART-050,LOT-00096,angle,45,46,44,44.766,1/29/2024 6:58,CMM3,QC007,pass
M0000097,PART-001,LOT-00097,width,10,10.1,9.9,9.989,1/18/2024 19:12,CMM2,QC015,pass
