production_order_id,part_id,lot_id,production_timestamp,quantity,machine_id,operator_id,shift,plant_code,status
PO000001,PART-041,LOT-00001,2024-01-06 01:36:00,32,M009,OP032,3,PLANT1,completed
PO000002,PART-007,LOT-00002,2024-01-25 19:41:00,64,M019,OP055,2,PLANT1,completed
PO000003,PART-014,LOT-00003,2024-01-11 14:07:00,278,M020,OP004,2,PLANT3,completed
PO000004,PART-042,LOT-00004,2024-01-25 19:13:00,234,M008,OP058,2,PLANT3,completed
PO000005,PART-001,LOT-00005,2024-01-08 06:23:00,377,M014,OP044,1,PLANT2,completed
PO000006,PART-049,LOT-00006,2024-01-16 07:39:00,72,M003,OP049,1,PLANT1,completed
PO000007,PART-023,LOT-00007,2024-01-28 11:25:00,155,M002,OP094,1,PLANT2,completed
PO000008,PART-025,LOT-00008,2024-01-04 14:04:00,302,M010,OP081,2,PLANT3,in_progress
PO000009,PART-024,LOT-00009,2024-01-27 06:37:00,118,M003,OP006,1,PLANT3,completed
PO000010,PART-019,LOT-00010,2024-01-04 15:09:00,457,M008,OP013,2,PLANT2,completed
PO000011,PART-041,LOT-00011,2024-01-17 14:29:00,103,M012,OP046,2,PLANT1,completed
PO000012,PART-045,LOT-00012,2024-01-30 11:49:00,56,M020,OP082,1,PLANT1,completed
PO000013,PART-016,LOT-00013,2024-01-08 10:28:00,256,M013,OP035,1,PLANT3,completed
PO000014,PART-015,LOT-00014,2024-01-15 18:12:00,451,M002,OP030,2,PLANT1,in_progress
PO000015,PART-026,LOT-00015,2024-01-13 04:26:00,53,M007,OP073,3,PLANT3,completed
PO000016,PART-042,LOT-00016,2024-01-23 17:17:00,222,M015,OP019,2,PLANT2,completed
PO000017,PART-048,LOT-00017,2024-01-26 13:09:00,295,M009,OP096,1,PLANT3,completed
PO000018,PART-038,LOT-00018,2024-01-19 04:15:00,205,M008,OP018,3,PLANT3,completed
PO000019,PART-049,LOT-00019,2024-01-03 03:27:00,460,M004,OP020,3,PLANT3,completed
PO000020,PART-044,LOT-00020,2024-01-20 05:06:00,325,M003,OP050,3,PLANT2,completed
PO000021,PART-030,LOT-00021,2024-01-25 01:56:00,148,M018,OP002,3,PLANT3,completed
PO000022,PART-044,LOT-00022,2024-01-25 10:30:00,404,M009,OP099,1,PLANT3,completed
PO000023,PART-019,LOT-00023,2024-01-20 18:52:00,100,M015,OP001,2,PLANT3,in_progress
PO000024,PART-017,LOT-00024,2024-01-23 18:46:00,410,M006,OP065,2,PLANT1,in_progress
PO000025,PART-020,LOT-00025,2024-01-30 01:54:00,279,M020,OP026,3,PLANT1,completed
PO000026,PART-011,LOT-00026,2024-01-25 13:08:00,418,M017,OP001,1,PLANT3,completed
PO000027,PART-002,LOT-00027,2024-01-06 02:11:00,495,M012,OP040,3,PLANT1,completed
PO000028,PART-037,LOT-00028,2024-01-04 14:01:00,63,M016,OP009,2,PLANT3,completed
PO000029,PART-009,LOT-00029,2024-01-22 15:08:00,301,M006,OP034,2,PLANT3,in_progress
PO000030,PART-028,LOT-00030,2024-01-10 15:20:00,495,M018,OP097,2,PLANT3,completed
PO000031,PART-046,LOT-00031,2024-01-15 04:28:00,224,M012,OP057,3,PLANT3,completed
PO000032,PART-016,LOT-00032,2024-01-11 05:25:00,52,M011,OP003,3,PLANT3,completed
PO000033,PART-038,LOT-00033,2024-01-11 00:32:00,23,M003,OP091,3,PLANT3,completed
PO000034,PART-005,LOT-00034,2024-01-02 10:18:00,460,M011,OP010,1,PLANT3,completed
PO000035,PART-043,LOT-00035,2024-01-23 02:12:00,129,M018,OP017,3,PLANT3,delayed
PO000036,PART-037,LOT-00036,2024-01-27 05:22:00,262,M008,OP061,3,PLANT2,completed
PO000037,PART-007,LOT-00037,2024-01-30 23:47:00,240,M012,OP055,3,PLANT2,completed
PO000038,PART-047,LOT-00038,2024-01-03 11:10:00,364,M004,OP008,1,PLANT2,completed
PO000039,PART-007,LOT-00039,2024-01-12 07:35:00,118,M007,OP069,1,PLANT2,completed
PO000040,PART-012,LOT-00040,2024-01-13 16:14:00,256,M008,OP010,2,PLANT2,in_progress
